Calf_ID,Diet,Sampling_date,Antibiotic_bef_aft,Ruminococcaceae UCG-005,Lachnospiraceae,Bacteroides,Blautia,Alloprevotella,Muribaculaceae uncultured bacterium,Rikenellaceae RC9 Gut group,Clostridium sensu stricto 1,Romboutsia,Prevotella 2,Eubacterium coprostanoligenes group,Christensenellaceae R 7 group,Ruminococcaceae UCG-014,Fusobacterium,Uncultured Porphyromonadaceae bacterium,Faecalibacterium,Mollicutes RF39,Ruminococcaceae UCG-010,Prevotellaceae UCG-003,Lachnospiraceae UCG-010,Ruminococcus gauvreauii group,Bifidobacterium,Tyzzerella 4,Paeniclostridium,Roseburia,Turicibacter,Streptococcus,Mollicutes RF39 uncultured bacterium,Pseudomonas,Ruminococcaceae UCG-013,Sharpea,Akkermansia,Terrisporobacter,Peptococcaceae uncultured,Subdoligranulum,Phascolarctobacterium,Sutterella,Prevotella 9,Ruminiclostridium 9,Prevotellaceae NK3B31 group,Ruminococcaceae,Ruminococcus 1,Olsenella,Odoribacter,Oscillibacter,Ruminococcus torques group,Alistipes,Family XIII AD3011 group,Parabacteroides,Lachnospiraceae NK4A136 group,Prevotellaceae GA6A1 group,Ruminococcaceae uncultured,Desulfovibrio,Erysipelotrichaceae uncultured,Agathobacter,Anaerovibrio,Lachnospiraceae AC2044 group,Holdemanella,Prevotella 1,Ruminococcaceae UCG-002,Peptoclostridium,Succinivibrio,Lachnospiraceae uncultured,Lachnospiraceae NK3A20 group,Clostridioides,Erysipelotrichaceae UCG-003,Ruminococcaceae NK4A214 group,Megamonas,Mollicutes RF39 uncultured rumen bacterium,Uncultured Lachnospiraceae bacterium,Catenibacterium,Clostridiales vadinbb60 group uncultured bacterium,Eubacterium nodatum group,Prevotellaceae uncultured,Muribaculaceae gut metagenome,Treponema 2,Lachnospiraceae GCA 900066575,Anaerostipes,Lachnoclostridium,Faecalitalea,Uncultured Erysipelotrichaceae bacterium,Lachnospiraceae UCG-001,Acetitomaculum,Ruminococcaceae UCG-009,Lactococcus,Lachnospiraceae UCG-004,Fournierella,Coprococcus 3,Peptococcus,Lachnoclostridium 10,Muribaculaceae uncultured organism,Bacteroidales,Intestinimonas,Escherichia-Shigella,Ruminococcus 2,Enterobacteriaceae,Uncultured Bacteroidales bacterium,Dorea,Erysipelotrichaceae UCG-004,Marvinbryantia,Tyzzerella,Candidatus Stoquefichus,Ruminiclostridium 6,Erysipelotrichaceae UCG-002,Megasphaera,Butyricicoccus,Others
1,ADLIB,28/09/2017,befAb,1278,861,4119.999999,762,528.0000001,40.99999999,437.9999999,98.00000001,211,208.9999999,187,88.00000006,394,748,50.99999994,424,359.0000001,0,206,102,104,9.000000059,55.99999998,139,40.99999999,58.00000006,19.00000001,212.0000001,21.99999998,0,8.000000019,0,32.99999997,24.00000006,12.00000003,55.99999998,70.99999998,27.00000003,110.9999999,9.99999995,19.00000001,15,0,116,57.00000002,28.99999996,13.00000007,20.99999994,99.00000005,39.00000006,5.000000049,74.99999999,0,58.99999995,25.99999999,21.99999998,39.00000006,43.00000007,35.00000005,0,112,8.000000019,25.99999999,9.99999995,20.00000005,125,9.000000059,6.99999998,0,466,0,10.99999999,0,17.99999997,4.00000001,0,43.00000007,8.000000019,28.99999996,25.99999999,389.0000001,0,0,0,32.99999997,0,0,0,43.00000007,0,0,0,13.99999996,0,0,23.00000002,0,21.99999998,21.99999998,6.99999998,21.99999998,13.99999996,0,0,0,40.99999999,469
4,ADLIB,28/09/2017,befAb,162,443,1040,3768,728.9999999,24.99999995,0,89.99999999,193,603,0,13.99999997,51.00000007,714.9999999,114.9999999,555.9999999,0,0,23.99999995,0,414,81.00000001,192,17.99999996,0,22.99999995,2410.999999,0,39.99999992,1.999999996,194,4.99999999,32.99999993,0,0,146.0000001,55.00000007,45.00000009,18.99999996,0,0,0,213.9999999,0,0,560.0000001,0,0,31.99999993,89.99999999,0,0,3.999999992,0,0,5.999999987,0,664.0000001,0,0,838,0,108,50.00000008,0,16.99999996,0,195.9999999,0,0,0,0,7.999999983,15.99999997,7.999999983,0,47.00000008,362,116.9999999,0,0,0,18.99999996,0,23.99999995,46.00000008,0,24.99999995,174,0,0,0,13.99999997,24.99999995,0,77.00000002,0,36.99999992,0,0,184,0,0,20.99999996,28.99999994,88.99999999,1758
7,ADLIB,28/09/2017,befAb,3874.999999,451,5414.000001,1632,2040,58.99999996,112.0000001,1699,851.0000001,854.0000001,279.9999999,74.99999994,114.0000001,2398,421,176.9999999,87.00000006,0,309.9999999,408,103,15.99999998,160.9999999,783,106.0000001,101.9999999,76.00000004,6.999999883,28.00000011,0,6.000000064,7.999999989,481,69.99999998,39.00000013,168.9999999,193.0000001,30.00000003,135,39.00000013,100,0,0,146,0,33.99999988,0,0,36.99999991,197,908.0000001,66.00000013,0,44.00000009,0,0,60.99999988,222.9999999,15.99999998,0,410,7.999999989,105,0,55.99999993,87.00000006,14.00000005,0,0,55.99999993,93.99999995,0,39.99999995,23.99999997,0,0,167,15.99999998,68.00000005,0,0,0,0,0,60.99999988,39.99999995,81,0,165,0,0,1.999999925,14.99999987,38.00000002,0,55.99999993,0,92.00000002,4.999999957,0,38.00000002,22.00000004,0,0,6.999999883,65.00000002,1362
152,ADLIB,28/09/2017,befAb,365,171.0000001,118,1083,525,73.00000003,151.0000001,217,214,455,88.99999996,28.99999995,411,18.00000003,240.9999999,722.9999999,3.999999951,0,197,0,267,13.00000003,0,61.99999998,270.9999999,65,21.00000005,61.99999998,26.99999998,8.999999952,0,11.99999998,26.00000005,20,393,106.0000001,36.99999998,939,51.99999998,96.99999998,38.00000003,0,0,8.999999952,0,111.0000001,0,0,0,21.99999998,71.99999998,21.99999998,0,13.99999995,73.00000003,48.99999995,0,146.0000001,16.00000005,0,40,45,5,31.00000005,6.000000049,232,13.00000003,861,0,0,21.99999998,0,0,68.99999996,0,0,23.99999995,1458,41.99999998,0,0,0,0,0,21.00000005,162,46.00000005,30,41.00000005,0,0,0,43.99999995,0,28.99999995,31.99999998,0,80.00000001,0,0,35,0,3.999999951,0,0,6.999999976,730
156,ADLIB,28/09/2017,befAb,111,184,94.99999997,472,334,18,22.99999997,94.99999997,138,265,14.99999997,0,26,192,64.99999997,412,10,2,96,0,64,18,46,36.99999997,82,34,72,4.999999972,8,0,64.99999997,0,42,0,574.0000001,76,96,18,10.99999997,32,8,0,18,0,0,74,0,0,4,14,24.99999997,0,0,6,0,194,0,28,6,0,282,96.99999997,4.999999972,22.99999997,0,20,0,107,0,0,36,0,0,0,0,0,14,0,0,0,0,0,0,0,26,34,74.99999997,12.99999997,26.99999997,0,0,0,12.99999997,0,2.999999972,58,0,32.99999997,0,0,76.99999997,0,0,0,8,8.999999972,396
162,ADLIB,28/09/2017,befAb,625,967,1703,430,166,32.99999997,66.00000001,28.00000001,60.00000003,206,45,32.99999997,121,131,121,252,92.99999999,63.00000002,125,103,85.99999999,0,134,19.99999999,67.99999998,8.000000023,8.999999972,117,0,0,28.00000001,2.999999991,0,8.999999972,0,35.00000001,15.99999997,25.00000002,60.99999998,38,16.99999999,0,12.00000003,62,0,54.99999999,9.999999993,14,18.00000002,25.00000002,106,46.00000002,0,12.00000003,32.00000002,26.99999999,0,62,18.00000002,0,104,14,0,56.99999996,0,33.99999999,8.000000023,25.00000002,0,28.00000001,0,7.000000002,0,15.99999997,0,0,39.99999997,63.00000002,0,0,0,0,9.999999993,0,29.99999998,1.99999997,0,5.999999981,18.99999996,0,0,1.99999997,0,0,0,0,0,0,12.99999998,0,0,0,0,9.999999993,0,24,127
2,HA,28/09/2017,befAb,3581,4843,800.9999999,1782,255,213.0000001,213.9999999,611.0000001,1513,408.9999999,346.9999999,670,472,183.9999999,37.00000009,49.00000003,685.0000001,103.9999999,199,319.0000001,77.99999992,45.00000005,14.00000004,336,293.9999999,190,0,121.9999999,54.00000006,87.99999999,45.00000005,58.00000003,308,50.00000008,151.0000001,191.9999999,41.99999989,11.99999993,255,41.99999989,36.00000004,46.99999992,67.00000004,33.99999993,84.00000001,69.99999997,9.00000001,139.9999999,49.00000003,55.99999993,0,76.00000005,15.99999991,7.999999956,213.0000001,43.99999999,168,353,54.00000006,7.999999956,111,0,27.00000003,5.000000032,46.99999992,24.0000001,82.99999996,0,99.99999992,0,0,0,69.99999997,0,11.00000012,0,33.00000011,0,0,22,0,107.0000001,31.00000001,19.99999989,32.00000006,94.99999989,31.00000001,208,45.00000005,15.99999991,0,0,0,0,14.00000004,31.00000001,0,27.00000003,6.000000086,49.00000003,0,94.99999989,6.000000086,24.99999992,24.99999992,28.9999999,1204
5,HA,28/09/2017,befAb,1635,1567,2402,1189,182,207,261,825,933,336.0000001,301,475,277,5.000000039,344.0000001,87.00000001,356,63.00000005,291.9999999,146.9999999,145,512,100,336.0000001,224,244,103,100,26.00000005,154.0000001,447,6.000000083,84.99999992,27.99999996,39.00000008,103,31.99999995,43.00000008,134.9999999,35.99999995,31.99999995,0,60.99999996,18.99999993,48.99999998,36.99999999,0,21.00000002,22.00000006,34.00000004,0,35.00000009,3.999999994,138.0000001,262.9999999,31.99999995,48.99999998,550,33,13.00000003,0,9.000000033,214,286.9999999,26.00000005,260,11.99999998,0,58.00000001,2.99999995,6.000000083,0,0,35.99999995,0,0,30.00000005,0,47.99999993,66,83.00000002,30.99999991,0,0,51.00000006,0,0,0,52.99999997,0,0,0,0,36.99999999,10.99999994,0,0,26.00000005,2.99999995,84.99999992,0,73.99999999,0,43.99999994,0,14.00000007,590
110,HA,28/09/2017,befAb,1000,671,239,1690,1194,328,1560,73.99999997,95.0000001,650.0000001,1495,55.00000007,580,8.999999941,903.0000001,1094,70.99999992,107.0000001,562.0000001,0,142,18.00000009,240,38,722,26.00000001,11.99999999,114,16.00000005,43.00000008,107.9999999,4.000000065,0,20.99999993,522,185.9999999,86.99999997,459,140,119.0000001,112,27.00000003,254,49.99999999,20.99999993,147.9999999,0,17.00000007,43.00000008,103,3.000000049,68.00000008,40.00000003,324.9999999,0,147.9999999,0,269,46.99999994,16.00000005,145.9999999,312.9999999,8.999999941,5.000000081,0,43.00000008,19.0000001,166,0,0,231,3.000000049,32.99999992,57.0000001,11.99999999,0,32.99999992,13.00000001,82.0000001,0,0,0,39.00000002,0,21.99999995,98.99999996,0,16.00000005,59.99999995,0,0,0,0,176,40.00000003,0,0,128,13.00000001,30.00000008,90.00000002,0,0,103,83.99999992,15.00000004,1352
155,HA,28/09/2017,befAb,746,605,247,633,20,195,610,149,170,439,439,318,101,6.999999963,384,88,155,74.99999997,286,0,48.00000001,16.00000003,11.00000001,91.99999997,56.99999999,70.00000003,10.00000004,54,11.99999998,43.99999996,27.00000004,2.999999996,28.00000001,5.999999991,64.00000004,60.99999996,20,56.00000002,62.00000001,33.00000003,22.00000002,43.99999996,25.00000002,19.00000002,37.99999997,0,5.999999991,25.99999999,14.99999998,76.99999999,28.00000001,10.00000004,71.99999997,42.00000002,53.00000003,23.99999996,34.99999997,0,57.99999997,11.99999998,0,0,34,2.999999996,11.99999998,25.99999999,25.00000002,0,27.00000004,20,0,0,20,2.999999996,0,51,0,0,0,0,17.99999997,27.00000004,31.00000001,13.00000003,5.999999991,8.999999987,0,23.99999996,0,0,8.000000015,0,0,16.00000003,0,0,0,0,0,14.00000001,5.000000019,13.00000003,11.00000001,34.99999997,0,0,452
