SCFA	"Total CP intake (kg), wk "	"Total ME intake (MJ), wk "	"Total DM intake (kg), wk "	Total DM intake (kg)	Total CP intake (kg)	Total ME intake (MJ)	"MR (DM intake, kg), wk "	"MR (DM intake, % of initial BW), wk "	"MR (DM intake, kg) "	"MR (DM intake, % of initial BW)"	"MR (CP intake of total, %) "	"MR (ME intake of total, %) "	"MR (DM intake of total, %) "	"MR (ME intake of total, %), wk "	"MR (CP intake of total, %), wk "	"MR (DM intake of total, %), wk "	"Starter (DM intake, kg), wk"	"Starter (DM intake, kg) "
Isovaleric acid (mM)	0.56081054	0.589895574	0.500168362	0.614314497	0.553041783	0.672973444	0.684801749	0.644341558	0.721205455	0.66972643	0.591042979	0.587432546	0.596401661	0.529912346	0.5453874	0.564098241	-0.422971809	-0.429100137
Isobutyric acid (mM)	0.555243257	0.58347061	0.496233578	0.605106318	0.544639836	0.66188609	0.674627369	0.634037342	0.707777878	0.656031897	0.577560852	0.573987737	0.582870812	0.523652166	0.538465033	0.556319511	-0.411142946	-0.417156086
Valeric acid (mM)	0.469805085	0.47235566	0.458514899	0.483698374	0.452043957	0.487068699	0.444224477	0.386004731	0.455794488	0.382567805	0.257098325	0.254394042	0.261183856	0.232760724	0.238545907	0.245774364	-0.061785999	-0.101835044
Propionic acid (%)	0.144646389	0.183406178	0.072389967	0.321093168	0.293290643	0.407104774	0.362116039	0.381247325	0.521839933	0.551330791	0.565787681	0.564750868	0.566977405	0.207652081	0.23843945	0.278505194	-0.528283978	-0.529413599
Isovaleric acid (%)	0.441304008	0.482699733	0.360061224	0.462792023	0.391470601	0.545685894	0.648705562	0.639600021	0.644619802	0.629794131	0.638436302	0.635183606	0.643300648	0.687853375	0.699584045	0.712311917	-0.581049603	-0.536616527
Isobutyric acid (%)	0.3888932	0.434895099	0.300051757	0.413313128	0.340776384	0.505982483	0.628170608	0.631123131	0.624483927	0.6245834	0.661622705	0.658592572	0.666137723	0.714026893	0.72637946	0.739715026	-0.639744245	-0.581988195
Valeric acid (%)	0.368413946	0.397034689	0.311344446	0.37283348	0.317949451	0.429349455	0.506324198	0.492329599	0.492450161	0.471895719	0.465081169	0.462437661	0.469065448	0.52674962	0.533877092	0.541206371	-0.405450182	-0.375722277
Acetic acid (mM)	0.116582203	0.084978487	0.172168323	0.134113267	0.163515414	0.069990798	-0.081061989	-0.134127877	-0.043903102	-0.106740318	-0.251440092	-0.251459369	-0.251412041	-0.371298264	-0.37212916	-0.371126111	0.416980566	0.33039624
Total SCFA (mM)	0.138428736	0.115436158	0.178107967	0.191442549	0.214832777	0.146315978	-0.010009206	-0.05733131	0.058793108	0.004199311	-0.132895148	-0.133096794	-0.132668475	-0.322885737	-0.317472345	-0.308387656	0.300217453	0.215812105
Propionic acid (mM)	0.163362129	0.160592455	0.166059131	0.273113406	0.280472402	0.271544111	0.132768619	0.103526039	0.248269499	0.217423061	0.116744482	0.116186576	0.11738036	-0.169953779	-0.153783314	-0.131156441	0.027552344	-0.03835837
Butyric acid (mM)	-0.137318843	-0.154379902	-0.104467721	-0.038141633	0.003120021	-0.067699607	-0.226660504	-0.233484522	-0.112610506	-0.114108685	-0.175997599	-0.174590315	-0.178316637	-0.473293486	-0.462721961	-0.446442192	0.236860774	0.169505792
Butyric acid (%)	-0.307597722	-0.31905671	-0.282475503	-0.197755089	-0.150024469	-0.214552489	-0.348938615	-0.327671683	-0.226705697	-0.192677244	-0.19402913	-0.191718256	-0.197750206	-0.507101447	-0.495579403	-0.478131888	0.171730336	0.126635321
Acetate:Propionate	-0.092795998	-0.129704637	-0.024628619	-0.246012979	-0.220455081	-0.327487355	-0.303774347	-0.328451012	-0.440584581	-0.476051055	-0.508393787	-0.507620341	-0.509230384	-0.204878017	-0.231793708	-0.26664671	0.500414923	0.491478687
Acetic acid (%)	-0.158909512	-0.200892089	-0.080613382	-0.345922599	-0.315100193	-0.438890435	-0.394267478	-0.414884488	-0.562991344	-0.594581776	-0.611386042	-0.610237925	-0.612720963	-0.234037931	-0.266829195	-0.309443821	0.572340875	0.572034102
