Calf ID	Diet	Farm	Shannon diversity	Chao1 richness
1	ADLIB	Farmway	4.492932827	82.62218254
2	HA	Farmway	4.651311852	87.2825
3	LA	Farmway	4.58280043	71.73857143
4	ADLIB	Farmway	4.330264338	59.88571429
5	HA	Farmway	5.05736841	80.69285714
6	LA	Farmway	3.123411928	33.51666667
7	ADLIB	Farmway	4.485307958	72.85845238
9	LA	Farmway	3.918680481	58.29083333
10	LA	Farmway	4.328981842	72.93277778
11	HA	Farmway	4.430915336	87.30128788
13	LA	Farmway	4.701316536	90.87861111
15	HA	Farmway	4.328936616	63.535
17	LA	Farmway	3.340856334	60.13619048
19	HA	Farmway	4.487759086	64.38333333
20	ADLIB	Farmway	5.374464409	92.37007215
21	LA	Farmway	4.520394493	74.61507937
22	ADLIB	Farmway	4.413316535	64.72857143
23	LA	Farmway	4.983927652	79.56821429
25	HA	Farmway	5.00096779	80.24511905
26	LA	Farmway	4.608418628	65.03333333
27	ADLIB	Farmway	4.643355963	73.30035714
28	LA	Farmway	4.665661181	76.87777778
29	HA	Farmway	4.826381531	82.16924242
31	HA	Farmway	4.514499537	53.13333333
32	LA	Farmway	3.531248943	50.37301587
33	ADLIB	Farmway	4.716806757	69.48166667
34	LA	Farmway	4.777400374	81.3164899
37	HA	Farmway	4.11959639	70.45857143
39	LA	Farmway	4.93375233	79.30238095
40	ADLIB	Farmway	5.160132433	69.35
41	HA	Farmway	4.59165166	74.99738095
42	LA	Farmway	4.44413255	78.51646825
44	HA	Farmway	4.068698057	75.1547619
46	ADLIB	Farmway	5.057664685	86.10987346
47	LA	Farmway	4.054630068	56.06444444
50	ADLIB	Farmway	4.309379986	66.98571429
51	HA	Farmway	4.662407881	84.31137085
52	ADLIB	Farmway	4.430674081	69.79666667
53	HA	Farmway	4.924714272	85.03297619
54	LA	Farmway	4.42198334	72.5515873
55	LA	Farmway	4.748412156	66.5
56	ADLIB	Farmway	4.744575188	78.70095238
57	HA	Farmway	5.110573207	82.2784632
58	ADLIB	Farmway	5.004489888	82.59789683
59	LA	Farmway	4.872447649	79.50840909
60	HA	Farmway	4.970236144	76.26357143
61	ADLIB	Farmway	5.083435162	86.94714286
62	LA	Farmway	4.70666191	72.61261905
64	ADLIB	Farmway	4.967193717	77.725
65	HA	Farmway	4.19597329	49.95
66	LA	Farmway	4.289210745	73.07952381
67	ADLIB	Farmway	4.936762155	77.19166667
68	LA	Farmway	4.851457151	82.61944444
69	HA	Farmway	4.947058828	81.86388889
70	LA	Farmway	4.795987969	68.33166667
71	ADLIB	Farmway	4.811762545	57.1
73	HA	Farmway	4.428120007	60.41666667
74	LA	Farmway	5.000856244	82.21880952
75	ADLIB	Farmway	4.883595304	77.56666667
77	HA	Farmway	3.693774277	64.8668254
78	LA	Farmway	4.429968791	49.03333333
83	ADLIB	Farmway	4.496645849	76.56285714
85	LA	Farmway	4.908370189	83.41206349
86	ADLIB	Farmway	4.664643423	71.94015873
87	HA	Farmway	4.964846066	75.58607143
88	HA	Farmway	4.844762898	82.83869048
89	LA	Farmway	4.892307529	85.02666667
90	ADLIB	Farmway	4.812290991	67.19285714
91	LA	Farmway	4.92921309	77.2343254
92	HA	Farmway	4.755180958	69.46154762
93	ADLIB	Farmway	5.010750755	86.38396825
94	HA	Farmway	4.766927533	75.86424242
95	ADLIB	Farmway	5.010443808	86.32090909
96	LA	Farmway	4.756618416	75.85714286
97	ADLIB	Farmway	5.006518525	79.65178571
99	HA	Farmway	4.74349044	78.02083333
100	ADLIB	Farmway	4.420613316	62.90428571
106	LA	Farmway	5.01763559	77.47333333
109	LA	Farmway	4.782008104	85.63917749
110	HA	Farmway	5.157258264	84.37180736
