Taxon	Body girth gain (cm)	Hip height gain (cm)	Body weight gain (kg)	Average daily gain (kg)	Total serum protein (g/L)	Total scours score	LA	HA	ADLIB
Prevotella 9	0.265501622	0.18243926	0.178754865	0.127685849	0.011286899	0.147556788	0.353943186	0.382052668	0.610560505
Prevotella 2	0.281315787	0.207184826	0.217961895	0.174824743	-0.003882837	0.12656479	1.746271387	2.040842239	3.530577393
Lachnospiraceae UCG-004	0.311163427	0.217836456	0.231246237	0.178187931	0.054829038	0.135724532	0.175789285	0.129342168	0.191459463
Peptoclostridium	0.315577192	0.234560447	0.276577832	0.237301339	0.088019526	0.078707691	0.098039217	0.098369248	0.604840483
Subdoligranulum	0.288070497	0.227955081	0.259534778	0.228879892	-0.008857914	0.08757435	0.084581931	0.315661104	1.071787388
Faecalibacterium	0.40511072	0.313049487	0.343309646	0.292591372	-0.025103544	0.152432601	0.766748761	1.131548615	2.556360076
Phascolarctobacterium	0.358141619	0.265137374	0.26330155	0.204906167	-0.064806669	0.19426	0.35946583	0.472749977	0.62059023
Fournierella	0.235641549	0.192802207	0.252885453	0.240209063	0.07996211	-0.000395309	0.129336827	0.145682935	0.229101918
Holdemanella	0.241743071	0.202401142	0.282003794	0.276153181	0.121648495	-0.038057912	0.221176427	0.279353109	0.40987167
Lachnospiraceae unc 1	0.210893308	0.194038353	0.273660385	0.28014072	0.057742613	-0.05307894	0.143688061	0.216762406	0.383356906
Blautia	0.337512642	0.294969414	0.393461879	0.388179205	0.067449606	-0.025098376	2.741131484	4.415186688	6.444945428
Erysipelotrichaceae UCG-003	0.268001814	0.24474092	0.330513191	0.333680745	0.02933202	-0.034943995	0.139465221	0.14894204	0.405673288
Megamonas	0.232662676	0.224507432	0.288886908	0.295034628	-0.066491387	-0.007770085	0.04275527	0.063389712	0.542231381
Ruminococcus torques group	0.255794954	0.256357583	0.338617115	0.353285698	-0.079180255	-0.031958335	0.091463988	0.239143272	0.676626405
Lachnoclostridium	0.17355576	0.199784633	0.261466566	0.286096064	-0.15682966	-0.031601295	0.047740264	0.156381438	0.355889913
Peptococcus	0.222280102	0.237299188	0.350996275	0.382432987	0.00663307	-0.115892972	0.014190736	0.115815378	0.356027008
Streptococcus	0.157069223	0.170711684	0.246086277	0.268503697	-0.026782346	-0.071060894	0.141354516	0.347820962	1.676089543
Ruminococcus gauvreauii group	0.182733618	0.206460338	0.297189758	0.328067242	-0.058190264	-0.088348598	0.447691583	0.724829187	1.224803893
Sutterella	0.348392822	0.191297049	0.14749906	0.045650586	0.110566766	0.271560368	0.514420373	0.358997246	0.520408355
Prevotellaceae unc	0.283316492	0.164842103	0.138417626	0.062762292	0.077195168	0.202245688	0.220424856	0.129504831	0.195191349
Anaerovibrio	0.2500291	0.110709015	0.086878055	0.002351077	0.232116469	0.176162376	0.343097561	0.384730538	0.234634339
Bifidobacterium	0.119088426	0.024205583	0.047739586	0.002377468	0.366130199	0.007116268	0.857734464	1.158547546	0.370315662
