Taxon	"MR (CP intake of total, %), wk "	"MR (ME intake of total, %), wk "	"MR (DM intake of total, %), wk "	"MR (CP intake of total, %) "	"MR (ME intake of total, %) "	"MR (DM intake of total, %) "	"MR (DM intake, kg), wk "	"MR (DM intake, % of initial BW), wk "	"MR (DM intake, kg) "	"MR (DM intake, % of initial BW)"	"Total ME intake (MJ), wk "	"Total CP intake (kg), wk "	"Total DM intake (kg), wk "	Total ME intake (MJ)	Total DM intake (kg)	Total CP intake (kg)	"Starter (DM intake, kg), wk"	"Starter (DM intake, kg) "	LA	HA	ADLIB
Ruminococcus gauvreauii group	0.365907307	0.348538256	0.387825986	0.481265458	0.479395264	0.483917685	0.433695007	0.435645525	0.474837468	0.48166464	0.318977212	0.29029584	0.233449236	0.400031615	0.337401775	0.27925044	-0.426537849	-0.415414215	0.447691583	0.724829187	1.224803893
Ruminococcus torques group	0.381163498	0.364281192	0.402418625	0.485284614	0.483237726	0.488215316	0.469361966	0.469158999	0.504396112	0.508477156	0.364725149	0.337357542	0.282261363	0.438262964	0.379157999	0.319349814	-0.414881278	-0.404799652	0.091463988	0.239143272	0.676626405
Peptococcus	0.515782707	0.500392402	0.534502676	0.571717978	0.5692408	0.575300737	0.588945821	0.579904037	0.594434906	0.586542296	0.475138442	0.444089268	0.380713926	0.517989158	0.449164813	0.373470408	-0.478702832	-0.472975086	0.014190736	0.115815378	0.356027008
Blautia	0.36493328	0.348274799	0.38607329	0.465128499	0.462814961	0.468485938	0.509798824	0.508333344	0.543805831	0.546656965	0.431436547	0.408352097	0.360128315	0.501736917	0.454293889	0.396494928	-0.366114389	-0.356439757	2.741131484	4.415186688	6.444945428
Butyricicoccus	0.330250509	0.318977852	0.344069753	0.385472683	0.384042015	0.387507389	0.349669749	0.346718757	0.362624614	0.361352917	0.256571707	0.233333104	0.187300594	0.297232115	0.244799996	0.195456961	-0.345350443	-0.339859316	0.071471689	0.098555378	0.150636781
Intestinimonas	0.228874625	0.215650314	0.245701012	0.33055172	0.329460147	0.332063093	0.256587287	0.26153	0.29677774	0.306290093	0.163942106	0.142311091	0.100521791	0.234556086	0.186797589	0.148863022	-0.311682617	-0.301961976	0.055746882	0.083182041	0.287597584
Lachnoclostridium	0.309900919	0.283890978	0.343522216	0.543227103	0.541645362	0.545352587	0.36085816	0.378269998	0.462334304	0.491046367	0.190035867	0.151987661	0.079872138	0.349724751	0.266592854	0.209657229	-0.535399355	-0.513310655	0.047740264	0.156381438	0.355889913
Subdoligranulum	0.275310929	0.26390729	0.289710565	0.336842649	0.335091286	0.33939707	0.386254228	0.383493511	0.405007069	0.404762793	0.335131794	0.319194074	0.285373019	0.378724094	0.346201879	0.303385738	-0.257634447	-0.251649129	0.084581931	0.315661104	1.071787388
Megamonas	0.237910315	0.228271761	0.250070248	0.288316397	0.286791513	0.290544047	0.335860767	0.333110757	0.350713775	0.34999815	0.293897585	0.280507694	0.251918834	0.329696377	0.30250423	0.265644987	-0.218059931	-0.213146929	0.04275527	0.063389712	0.542231381
Erysipelotrichaceae UCG-003	0.287801778	0.282264854	0.294336848	0.275935081	0.27413148	0.278628857	0.402543102	0.39091068	0.3846981	0.37165326	0.388706158	0.379518641	0.357257484	0.383168135	0.365328523	0.324927952	-0.174045812	-0.174903243	0.139465221	0.14894204	0.405673288
