Taxon	Acetate:Propionate	Acetic acid (%)	Acetic acid (mM)	Total SCFA (mM)	Butyric acid (%)	Butyric acid (mM)	Propionic acid (mM)	Propionic acid (%)	Valeric acid (mM)	Valeric acid (%)	Isovaleric acid (%)	Isobutyric acid (%)	Isovaleric acid (mM)	Isobutyric acid (mM)	LA	HA	ADLIB
Terrisporobacter	0.492756901	0.238087711	0.243793895	0.205737433	0.140602498	0.187146457	0.043728462	-0.379781189	-0.150584844	-0.340410959	0.034079876	-0.115523246	0.125886946	0.065446876	0.449100384	0.424471506	0.75877441
Fusobacterium	0.498511642	0.283510554	0.182050839	0.133203274	0.069864857	0.101488775	-0.032871991	-0.412813773	-0.143757614	-0.288739114	0.043092091	-0.086146643	0.092771973	0.043663307	1.55620987	1.429854374	2.793499418
Turicibacter	0.631239209	0.380723264	0.224785974	0.158077498	0.092700505	0.125586393	-0.056952131	-0.534655621	-0.196697781	-0.375542179	0.015825942	-0.138800735	0.070152715	0.012843789	0.709958598	0.660176467	0.7446671
Clostridium sensu stricto 1	0.548709917	0.299061594	0.343253677	0.294530461	0.285325683	0.328118872	0.095944328	-0.43369631	-0.247152402	-0.508296872	-0.150682268	-0.309852706	-0.02194862	-0.085377321	3.389757262	1.97492933	2.521369991
Olsenella	0.196793779	0.066451198	0.224729326	0.217766757	0.231827212	0.263030199	0.143308198	-0.124309576	-0.124749237	-0.29163265	-0.125465737	-0.207001167	-0.018278582	-0.054390405	0.525653558	0.348101036	0.303231993
Bifidobacterium	0.179908937	0.055906377	0.251890722	0.247300554	0.279322113	0.310642864	0.174254987	-0.106595738	-0.142419081	-0.328018603	-0.177740382	-0.258022795	-0.055514539	-0.091706649	0.857734464	1.158547546	0.370315662
Candidatus Stoquefichus	0.290898116	0.186004899	0.113661409	0.080758654	0.064228529	0.076248442	-0.022352787	-0.250934487	-0.106776323	-0.195996759	-0.031927079	-0.099865272	-0.004703894	-0.029341808	0.100028196	0.151837544	0.092836864
Paeniclostridium	0.521699989	0.376254899	-0.006218372	-0.077810909	-0.177254753	-0.175034569	-0.245487239	-0.49277669	-0.081017814	-0.090965416	0.182146251	0.094447823	0.115862623	0.090458498	0.796372959	0.773351659	0.731309238
Clostridioides	0.513860964	0.403928658	-0.078142414	-0.157076033	-0.263742734	-0.274213559	-0.321056089	-0.509815327	-0.058001688	-0.015769764	0.220319564	0.152999788	0.110624661	0.096007647	0.261735464	0.254781988	0.232506227
Romboutsia	0.429024111	0.159094083	0.131256531	0.107455002	-0.028776248	0.025136323	-0.010574788	-0.313301966	-0.032912346	-0.142333305	0.264347964	0.121826724	0.316988588	0.257893843	2.002881507	2.363895378	3.437143206
Ruminococcaceae UCG-013	0.108116808	0.274293598	-0.139084836	-0.199108566	-0.128550174	-0.195044402	-0.265176867	-0.218274973	-0.089054357	0.012567543	-0.175821307	-0.105382078	-0.30957453	-0.266812851	0.999215002	0.620639856	0.334341912
Clostridiales vadinbb60 group unc	0.092458364	0.241558454	-0.154934429	-0.208350817	-0.160232351	-0.220305996	-0.261814326	-0.193819062	-0.056950873	0.055655749	-0.108629037	-0.042667533	-0.242649047	-0.202930416	0.380575718	0.131111999	0.071404946
Lachnoclostridium 10	0.163725719	0.329934038	-0.175589233	-0.2472023	-0.19243766	-0.264655654	-0.330291536	-0.282415271	-0.085937253	0.040485799	-0.133730647	-0.063566795	-0.296371657	-0.251362359	0.230212319	0.175960029	0.047986575
Ruminococcaceae UCG-010	0.171701002	0.365133721	-0.256630916	-0.337041028	-0.300112886	-0.383940948	-0.41934179	-0.313228396	-0.055785543	0.128716818	-0.067323997	0.019771757	-0.27877298	-0.224155968	2.043499706	1.387480431	0.591009202
Ruminococcaceae UCG-005	0.168975455	0.324526007	-0.298769652	-0.370974318	-0.38594912	-0.458450273	-0.436980651	-0.29452468	0.007408789	0.220617981	0.083728891	0.159566194	-0.137999354	-0.089493037	11.86839463	12.16228939	8.542424921
Oscillibacter	0.013722769	0.231583974	-0.22275223	-0.276688837	-0.209686605	-0.287013396	-0.307519961	-0.150632434	-0.036802888	0.127446194	-0.130070294	-0.026777817	-0.300447266	-0.243780236	0.41559766	0.413344613	0.254155881
Eubacterium coprostanoligenes group	-0.010351465	0.201959142	-0.249492317	-0.29784938	-0.249682553	-0.32387613	-0.314228043	-0.124100459	-0.003585613	0.179876696	-0.068586149	0.036162625	-0.246020226	-0.189530083	2.607475524	2.646779513	1.848239599
Rikenellaceae RC9 gut group	-0.132312722	0.106900006	-0.262599733	-0.292885803	-0.234492645	-0.307303017	-0.266323041	-0.006599467	0.031660406	0.227536897	-0.072428271	0.051232645	-0.23968641	-0.17808886	3.276475509	3.294110748	1.807136418
Ruminococcaceae UCG-002	0.094770542	0.201997507	-0.225318028	-0.271085115	-0.291957838	-0.340597766	-0.305454364	-0.181258613	0.027431235	0.188524096	0.094605754	0.149773286	-0.063580089	-0.029460566	0.329330076	0.41971603	0.0923179
Peptococcaceae unc	0.087442645	0.221677848	-0.280577343	-0.331665273	-0.358367108	-0.416557134	-0.362610983	-0.192783041	0.045878554	0.247076951	0.124912784	0.195706121	-0.066298585	-0.023962826	0.573693346	0.608306704	0.354925915
Christensenellaceae R7 group	0.072410922	0.228002461	-0.256444269	-0.308868219	-0.306820064	-0.369972225	-0.342529049	-0.185242381	0.016671164	0.201730709	0.043856123	0.121949738	-0.138145055	-0.092545687	2.253138401	2.610110847	1.619723189
Alistipes	0.01699327	0.115624016	-0.192163892	-0.220119798	-0.234768389	-0.273120973	-0.226126005	-0.088811957	0.042967504	0.181781636	0.08297627	0.136643935	-0.041392832	-0.011401761	0.515858878	0.372237653	0.148831438
Clostridiales family XIII AD3011 group	-0.051061396	0.098903216	-0.251017102	-0.277649211	-0.282682625	-0.333342801	-0.262010515	-0.047267086	0.06751137	0.250876558	0.082649968	0.165417726	-0.071118713	-0.028185556	0.403463508	0.384932925	0.274156948
